open_time,open,high,low,close,volume
1758268800000,116850.00,117050.60,116250.70,116343.10,13997.595
1758283200000,116343.30,116488.00,115408.40,115826.90,27296.129
1758297600000,115826.90,116093.00,115057.00,115082.40,16518.271
1758312000000,115082.40,115600.00,115049.90,115569.50,7207.939
1758326400000,115569.60,115670.00,115355.00,115394.20,4785.626
1758340800000,115394.30,115933.40,115343.00,115909.80,6258.545
1758355200000,115909.90,115914.40,115605.60,115834.90,6129.028
1758369600000,115834.90,116059.20,115750.60,115928.50,6527.830
1758384000000,115928.40,116017.90,115636.60,115636.60,5001.456
1758398400000,115636.60,115887.60,115549.90,115624.90,3653.193
1758412800000,115625.00,115671.20,115388.00,115613.80,4830.646
1758427200000,115613.80,115772.90,115430.20,115772.90,4856.719
1758441600000,115772.80,115778.00,115277.00,115559.30,6594.717
1758456000000,115559.30,115703.90,115413.00,115471.10,4436.358
1758470400000,115471.00,115620.00,115158.00,115441.00,6740.608
1758484800000,115441.00,115510.70,115137.60,115183.90,5334.383
1758499200000,115183.90,115344.60,114050.00,114602.90,34217.270
1758513600000,114602.90,114604.90,111469.20,112454.40,53970.686
1758528000000,112454.50,112927.00,112119.00,112814.10,16269.606
1758542400000,112814.00,113413.50,112333.00,112768.70,26147.892
1758556800000,112768.70,112839.00,111866.30,112072.90,17130.484
1758571200000,112072.80,112942.40,111924.60,112604.70,11725.630
1758585600000,112604.70,112808.40,111405.10,112294.00,21299.087
1758600000000,112294.00,113080.00,111804.90,113048.10,19008.272
1758614400000,113048.10,113236.00,112634.00,112938.60,12834.182
1758628800000,112938.60,113254.80,112390.60,112828.60,16574.487
1758643200000,112828.60,112927.80,111482.00,111611.80,22467.091
1758657600000,111611.70,112178.00,111413.50,111947.00,10075.145
1758672000000,111947.00,112466.60,111622.40,111639.70,16182.590
1758686400000,111639.80,112732.80,110935.00,112544.70,23001.272
1758700800000,112544.70,113121.80,112356.40,112982.00,14830.326
1758715200000,112982.00,113850.00,112760.00,113299.90,27960.187
1758729600000,113300.00,113895.80,113107.40,113371.70,14802.650
1758744000000,113371.70,113590.00,113143.30,113254.00,8537.071
1758758400000,113253.90,113462.10,112155.60,112485.80,27168.994
1758772800000,112485.70,112574.60,111389.00,111708.50,26475.190
1758787200000,111708.50,112220.30,111234.80,111316.10,15940.854
1758801600000,111316.00,111682.60,110555.00,111538.40,42099.500
1758816000000,111538.40,111636.60,108574.10,109320.50,50538.879
1758830400000,109320.50,109637.30,108694.80,108934.50,16440.324
1758844800000,108934.60,109766.00,108750.00,109537.60,17356.486
1758859200000,109537.50,109588.80,108841.00,109257.30,19163.400
1758873600000,109257.40,109653.60,108566.00,109082.90,18038.068
1758888000000,109082.90,109742.30,108656.80,108976.00,28268.466
1758902400000,108976.00,110250.00,108953.70,109115.90,22207.427
1758916800000,109115.80,109641.60,109028.70,109588.50,7243.812
1758931200000,109588.50,109700.00,109267.30,109503.80,7435.557
1758945600000,109503.80,109694.20,109284.30,109354.80,4334.991
1758960000000,109354.90,109449.20,109021.90,109265.80,7603.852
1758974400000,109265.80,109444.20,109145.00,109340.70,7048.089
1758988800000,109340.80,109397.60,109188.10,109369.30,5170.985
1759003200000,109369.40,109653.20,109305.50,109577.30,4278.450
1759017600000,109577.20,109749.90,109284.10,109397.30,8565.210
1759032000000,109397.30,109500.00,109203.90,109468.50,4028.334
1759046400000,109468.40,109544.80,109188.00,109319.90,7836.570
1759060800000,109319.90,109990.00,109136.50,109990.00,16361.203
1759075200000,109990.00,110350.00,109952.20,110281.60,12576.758
1759089600000,110281.70,112300.00,110236.60,112119.60,27879.888
1759104000000,112119.70,112269.30,111517.30,111817.90,18747.416
1759118400000,111817.90,111860.00,111501.00,111814.70,12523.860
1759132800000,111814.80,112381.30,111814.70,112052.00,15639.613
1759147200000,112052.00,114188.00,111844.30,113752.00,48549.611
1759161600000,113752.00,114349.70,113404.50,114204.80,17519.655
1759176000000,114204.90,114377.20,113960.60,114257.10,12425.554
1759190400000,114257.10,114800.00,113985.10,114321.50,18219.208
1759204800000,114321.50,114321.50,113531.70,113662.40,15263.367
1759219200000,113662.30,113700.00,112615.30,113003.70,22065.979
1759233600000,113003.70,113623.80,112800.10,113055.40,25466.936
1759248000000,113055.40,114528.20,112743.60,114309.10,21865.766
1759262400000,114309.10,114720.00,113710.00,113988.80,16438.759
1759276800000,113988.70,114498.00,113899.40,114135.90,15897.091
1759291200000,114135.80,114700.00,114095.20,114480.80,16277.671
1759305600000,114480.80,116750.00,114425.60,116736.80,51889.352
1759320000000,116736.80,117647.80,116311.50,117366.40,32115.557
1759334400000,117366.50,118190.00,116687.50,117374.10,35556.092
1759348800000,117374.00,118631.80,117104.10,118552.40,21253.666
1759363200000,118552.00,119457.00,118335.00,118697.00,30360.048
1759377600000,118697.00,118893.80,118226.40,118444.10,11848.115
1759392000000,118444.10,118885.80,118307.30,118716.00,9479.148
1759406400000,118716.10,119889.00,118458.40,119875.10,42758.205
1759420800000,119875.10,120999.00,119317.00,120787.90,36408.207
1759435200000,120787.80,120880.90,120018.00,120481.30,14603.215
1759449600000,120481.30,120505.50,119766.00,120185.40,14304.582
1759464000000,120185.40,120281.60,119579.60,119620.10,12310.710
1759478400000,119620.10,120484.10,119200.00,120307.20,17880.291
1759492800000,120307.20,122399.90,119820.40,122238.50,38616.185
1759507200000,122238.50,123900.00,121425.50,122609.30,74701.828
1759521600000,122609.30,122694.10,121944.70,122182.70,10066.666
1759536000000,122182.60,122301.90,121636.40,122197.20,16539.763
1759550400000,122197.30,122781.10,122168.40,122271.30,13166.182
1759564800000,122271.40,122497.40,121908.30,121924.60,8147.412
1759579200000,121924.60,122480.90,121638.50,121744.80,13471.868
1759593600000,121744.80,121920.00,121432.00,121919.00,12409.999
1759608000000,121918.90,122374.80,121813.40,122343.20,6743.986
1759622400000,122343.20,124374.00,122088.10,123735.70,34731.178
1759636800000,123735.70,125877.30,123678.00,124692.40,42796.463
1759651200000,124692.50,124843.00,122472.00,123413.20,41554.431
1759665600000,123413.30,123413.30,122600.00,122753.00,12408.739
1759680000000,122752.90,123422.00,122160.00,122550.40,20005.211
1759694400000,122550.50,123453.50,122425.70,123426.70,11074.978
1759708800000,123426.70,124336.30,123018.50,123792.90,24935.811
1759723200000,123792.80,124137.70,123217.90,123332.30,14538.648
1759737600000,123332.40,124500.00,123332.30,124161.20,14441.381
1759752000000,124161.30,125375.00,124123.30,124946.20,37455.595
1759766400000,124946.20,126208.50,124742.50,125357.30,33248.277
1759780800000,125357.30,125500.00,124463.00,124628.50,15581.617
1759795200000,124628.60,125047.00,124055.00,124277.70,13050.893
1759809600000,124277.80,124631.90,123503.90,123627.10,18156.340
1759824000000,123627.10,124471.40,123261.60,124397.20,18443.485
1759838400000,124397.10,125098.00,121102.00,121788.30,70971.787
1759852800000,121788.20,122049.70,120516.00,121593.60,48194.981
1759867200000,121593.50,122255.40,121218.00,121286.50,13081.861
1759881600000,121286.60,122196.90,121137.00,121333.10,19688.959
1759896000000,121333.10,121880.00,121005.30,121550.40,16141.831
1759910400000,121550.50,123150.00,121468.50,122825.70,22689.216
1759924800000,122825.80,123312.90,121607.80,122140.10,30420.126
1759939200000,122140.10,124170.60,122055.80,123381.80,29648.513
1759953600000,123381.80,123671.50,122739.70,123237.50,8511.141
1759968000000,123237.40,123279.70,121411.80,121988.40,17473.027
1759982400000,121988.40,122221.00,121657.30,121847.90,10691.440
1759996800000,121847.80,122777.00,121081.50,122672.90,21258.055
1760011200000,122673.00,123740.10,120595.50,121079.40,62517.268
1760025600000,121079.40,121426.70,119572.80,120897.60,42006.187
1760040000000,120897.60,121712.40,120787.90,121579.30,9650.403
1760054400000,121579.40,121835.50,120850.00,120960.80,16114.114
1760068800000,120960.80,121712.20,120814.00,120886.10,13636.340
1760083200000,120886.10,121728.30,120869.20,121493.20,10048.553
1760097600000,121493.20,122497.00,118424.40,118965.30,67102.354
1760112000000,118965.20,119403.40,115845.00,116605.30,67842.528
1760126400000,116605.20,117145.30,101516.50,112714.90,217219.743
1760140800000,112715.00,113300.10,110987.00,112261.90,45022.178
1760155200000,112261.60,112931.90,110022.00,110338.70,38020.264
1760169600000,110338.70,112307.60,110100.50,112224.60,23492.990
1760184000000,112224.60,112466.20,111740.80,111744.40,16698.898
1760198400000,111744.40,112142.00,110800.10,111126.70,17110.637
1760212800000,111126.60,111333.50,109501.00,110579.10,23326.623
1760227200000,110579.10,111424.00,109509.30,110643.30,32024.510
1760241600000,110643.30,112110.00,110561.80,111464.00,18747.611
1760256000000,111463.90,112084.30,111070.40,111783.80,19180.411
1760270400000,111783.80,113687.60,111111.00,113119.00,60564.451
1760284800000,113119.00,114654.50,113119.00,114288.70,44045.749
1760299200000,114288.80,115730.30,114200.00,114894.40,43365.305
1760313600000,114894.50,115912.00,114566.10,114773.60,33866.079
1760328000000,114773.50,115500.00,114357.20,115341.70,27016.549
1760342400000,115341.70,115376.30,113600.50,114129.30,29931.406
1760356800000,114129.20,115488.90,113721.20,114260.70,52250.214
1760371200000,114260.80,115827.60,114151.00,115726.60,38754.704
1760385600000,115726.60,115817.40,114930.10,115111.90,14177.831
1760400000000,115112.00,115360.20,113210.60,113441.00,31868.196
